Neighbourhood_name,normalized_V_CT
West Humber-Clairville,0.6625159584090122
Mount Olive-Silverstone-Jamestown,0.9942108552721461
Thistletown-Beaumond Heights,0.10189957908079546
Rexdale-Kipling,0.14359480412897233
Elms-Old Rexdale,0.14055658234161564
Kingsview Village-The Westway,0.587033862840592
Willowridge-Martingrove-Richview,0.5671947467887696
Humber Heights-Westmount,0.12473538053596392
Edenbridge-Humber Valley,0.2857579949667905
Princess-Rosethorn,0.13318264403418387
Eringate-Centennial-West Deane,0.3237888485871406
Markland Wood,0.11184093967325107
Etobicoke West Mall,0.14811139778040222
Kingsway South,0.0689582950366021
Stonegate-Queensway,0.5319049571627275
New Toronto,0.1807898436595858
Long Branch,0.11168566937180227
Alderwood,0.12873863970065283
Humber Summit,0.1953528321223349
Humbermede,0.41096245068216963
Pelmo Park-Humberlea,0.10030738266104282
Black Creek,0.7606867484666138
Glenfield-Jane Heights,0.9532025421735179
York University Heights,0.5931170075956378
Rustic,0.2226892758754299
Maple Leaf,0.10784493933224432
Brookhaven-Amesbury,0.46710723807108134
Yorkdale-Glen Park,0.28521193492860497
Englemount-Lawrence,0.6546771075099985
Clanton Park,0.3064678339870219
Bathurst Manor,0.2660251189109535
Westminster-Branson,0.6667706269180177
Newtonbrook West,0.440880241646733
Willowdale West,0.2452054963482939
Lansing-Westgate,0.21699584188868257
Bedford Park-Nortown,0.5291344411058729
St.Andrew-Windfields,0.3433853254277779
Bridle Path-Sunnybrook-York Mills,0.09425945945216163
Banbury-Don Mills,0.6458593073490039
Victoria Village,0.4639640864973377
Flemingdon Park,0.6499693575032522
Pleasant View,0.20693312795454302
Don Valley Village,0.5972504317885451
Hillcrest Village,0.32771701024442546
Bayview Woods-Steeles,0.1959865601833033
Newtonbrook East,0.18754638094432985
Bayview Village,0.3233082624602574
Henry Farm,0.3582016476455401
Thorncliffe Park,0.8065742398989729
Leaside-Bennington,0.3237813740721152
Broadview North,0.23521278675452412
Old East York,0.05476203880851483
Woodbine-Lumsden,0.008445540614931203
The Beaches,0.443513775038214
Woodbine Corridor,0.18362275947392442
Greenwood-Coxwell,0.21431895140646537
Danforth,0.08089371784754686
Playter Estates-Danforth,0.068230530277001
North Riverdale,0.1561376421160735
Blake-Jones,0.04983919113807384
South Riverdale,0.5050828301061397
Regent Park,0.31783509788369674
Moss Park,0.6854121211000623
Kensington-Chinatown,0.4942866294015468
University,0.0
Palmerston-Little Italy,0.17197163432346968
Trinity-Bellwoods,0.1582999476549535
Dufferin Grove,0.12372529321471094
Little Portugal,0.21404165492699248
South Parkdale,0.8637568692248035
Roncesvalles,0.2597640603735652
High Park-Swansea,0.4338308110328417
High Park North,0.6016751428439499
Runnymede-Bloor West Village,0.11236205434332512
Junction Area,0.1556502744744369
Weston-Pelham Park,0.10667103146219148
Corso Italia-Davenport,0.14421706705871706
Wychwood,0.2028676064734593
Annex,0.8684166741611159
Casa Loma,0.21657431367876234
Rosedale-Moore Park,0.47654908319770284
Mount Pleasant East,0.3119930731754218
Yonge-Eglinton,0.23946061722115453
Forest Hill South,0.1735307835830217
Forest Hill North,0.2544038447289129
Lawrence Park South,0.2974436850737975
Lawrence Park North,0.2792079310959892
Humewood-Cedarvale,0.2884938105237388
Oakwood Village,0.44875802502613377
Briar Hill-Belgravia,0.21282429514991982
Caledonia-Fairbank,0.06836624853158027
Keelesdale-Eglinton West,0.14088040106891156
Rockcliffe-Smythe,0.5281852203905425
Beechborough-Greenbrook,0.05486728761841268
Weston,0.5340840220459914
Lambton Baby Point,0.09303277705135686
Mount Dennis,0.2654072732515089
Steeles,0.5983475528817135
Tam O'Shanter-Sullivan,0.6876617263253203
Wexford/Maryvale,0.6255288086118793
Clairlea-Birchmount,0.5760540124455691
Oakridge,0.3602665403109984
Birchcliffe-Cliffside,0.4128482142644059
Cliffcrest,0.29243083198485126
Kennedy Park,0.36541513072250986
Ionview,0.27173068979505605
Dorset Park,0.5234788881206098
Agincourt South-Malvern West,0.4478716394219907
Agincourt North,0.7173634321363678
Milliken,0.6939024941834779
Centennial Scarborough,0.19605664121572164
Highland Creek,0.14598162422293195
Morningside,0.36800363561345295
West Hill,0.7505423775818498
Eglinton East,0.6160792432569204
Scarborough Village,0.4405715267777387
Guildwood,0.08683712538718617
Golfdale-Cedarbrae-Woburn,0.734775686215166
Woburn North,0.5887936351092102
West Rouge,0.4115524501917518
Morningside Heights,0.5925665619544178
Malvern West,0.3571803491047647
Malvern East,0.6209343769320618
L'Amoreaux West,0.5736949677001831
East L'Amoreaux,0.4709022752416647
Parkwoods-O'Connor Hills,0.29719374262716364
Fenside-Parkwoods,0.5500572898178941
Yonge-Doris,0.32494817691286704
East Willowdale,0.22700559891178948
Avondale,0.0854279200721012
Oakdale-Beverley Heights,0.5714386601400329
Downsview,0.31874502873764704
Bendale-Glen Andrew,0.32800937795187224
Bendale South,0.10863722814094558
Islington,0.46223577577678915
Etobicoke City Centre,0.38697299054524664
Mimico-Queensway,0.27122720020978136
Humber Bay Shores,0.3427672430285677
West Queen West,0.08495257846575549
Fort York-Liberty Village,0.2731910616062179
Wellington Place,0.6586489074365468
Harbourfront-CityPlace,0.5554888467256631
St Lawrence-East Bayfront-The Islands,0.8026404236767773
Church-Wellesley,1.0
Downtown Yonge East,0.4972535186596627
Bay-Cloverhill,0.5966250753982822
Yonge-Bay Corridor,0.27637813545955053
Junction-Wallace Emerson,0.41018860884428976
Dovercourt Village,0.09999703366576768
North Toronto,0.5920421853549197
South Eglinton-Davisville,0.6791535942913509
