start_date,end_date,duration,mean_temperature
2002-06-04,2002-11-15,165,18.39151515151515
2002-11-18,2002-11-26,9,3.566666666666667
2002-12-10,2002-12-15,6,2.1
2002-12-18,2002-12-22,5,3.04
2003-03-15,2003-03-29,15,6.42
2003-04-09,2003-11-07,213,16.083568075117373
2003-11-09,2003-12-01,23,5.269565217391304
2003-12-21,2004-01-04,15,4.306666666666667
2004-02-27,2004-03-07,10,4.880000000000001
2004-03-23,2004-04-03,12,7.183333333333334
2004-04-06,2004-12-02,241,14.755186721991702
2004-12-07,2004-12-12,6,3.4
2004-12-29,2005-01-04,7,3.1571428571428575
2005-02-04,2005-02-08,5,1.72
2005-03-19,2005-11-17,244,16.253688524590164
2005-11-27,2005-12-01,5,5.3
2005-12-23,2005-12-29,7,2.157142857142857
2006-01-08,2006-01-14,7,3.9714285714285715
2006-01-17,2006-01-21,5,2.2600000000000002
2006-01-28,2006-02-04,8,4.2875
2006-03-08,2006-03-16,9,5.122222222222223
2006-03-22,2006-12-02,256,14.723828125
2006-12-09,2006-12-28,20,4.8
2006-12-30,2007-01-08,10,4.91
2007-03-10,2007-03-15,6,5.133333333333334
2007-03-21,2007-04-04,15,6.34
2007-04-09,2007-11-21,227,16.67929515418502
2007-12-19,2007-12-23,5,2.3
2008-01-05,2008-01-14,10,5.3
2008-03-30,2008-11-17,233,15.534334763948499
2008-11-24,2008-12-04,11,2.5454545454545454
2009-02-07,2009-02-12,6,3.716666666666667
2009-03-05,2009-03-11,7,4.042857142857143
2009-03-14,2009-03-19,6,5.383333333333333
2009-03-24,2009-04-06,14,5.764285714285714
2009-04-08,2009-12-04,241,14.782572614107883
2010-01-14,2010-01-19,6,1.2833333333333334
2010-02-27,2010-03-25,27,5.707407407407407
2010-03-27,2010-12-03,252,15.755357142857143
2011-03-09,2011-03-13,5,2.6
2011-03-15,2011-03-22,8,4.6875
2011-03-29,2011-12-09,256,15.308203125
2011-12-11,2011-12-16,6,4.333333333333333
2012-01-31,2012-02-06,7,3.257142857142857
2012-02-14,2012-02-18,5,2.2
2012-02-27,2012-03-03,6,3.266666666666667
2012-03-11,2012-11-29,264,15.420454545454545
2012-12-01,2012-12-10,10,4.25
2012-12-12,2012-12-21,10,4.25
2013-01-08,2013-01-14,7,5.457142857142857
2013-02-23,2013-02-28,6,1.55
2013-03-06,2013-03-12,7,4.728571428571429
2013-03-22,2013-04-01,11,4.345454545454546
2013-04-03,2013-11-11,223,16.002466367713005
2013-11-14,2013-11-22,9,6.033333333333333
2013-11-30,2013-12-06,7,2.0142857142857142
2014-01-10,2014-01-14,5,3.1199999999999997
2014-03-28,2014-04-14,18,6.516666666666667
2014-04-17,2014-11-13,211,16.089336492890993
2014-11-22,2014-11-26,5,4.64
2014-12-13,2014-12-17,5,3.2399999999999998
2014-12-21,2014-12-28,8,4.46875
2015-03-08,2015-03-17,10,2.9699999999999998
2015-03-30,2015-11-22,238,15.797689075630252
2015-11-24,2015-12-18,25,5.456
2015-12-20,2015-12-27,8,6.46875
2016-01-31,2016-02-09,10,3.2
2016-03-07,2016-03-18,12,7.716666666666666
2016-03-25,2016-04-02,9,5.344444444444445
2016-04-11,2016-11-20,224,17.512276785714285
2016-11-22,2016-12-07,16,4.70625
2016-12-22,2016-12-27,6,2.533333333333333
2017-01-17,2017-01-27,11,2.909090909090909
2017-02-18,2017-03-01,12,5.741666666666667
2017-03-17,2017-03-21,5,2.8600000000000003
2017-03-24,2017-11-09,231,15.97857142857143
2017-11-12,2017-12-06,25,4.666
2018-01-08,2018-01-12,5,2.5
2018-02-23,2018-03-07,13,4.576923076923077
2018-03-26,2018-04-04,10,3.6300000000000003
2018-04-09,2018-04-14,6,3.125
2018-04-16,2018-11-12,211,17.137440758293838
2018-11-16,2018-11-20,5,1.08
2018-11-24,2018-12-03,10,3.4899999999999998
2018-12-12,2018-12-16,5,2.2733333333333334
2019-03-10,2019-03-15,6,3.233333333333333
2019-03-18,2019-03-22,5,2.94
2019-03-26,2019-03-30,5,4.459999999999999
2019-04-02,2019-11-07,220,15.830454545454545
2019-11-18,2019-11-28,11,4.6454545454545455
2019-12-22,2019-12-31,10,3.85
2020-01-02,2020-01-07,6,2.1
2020-01-23,2020-01-28,6,1.8
2020-02-22,2020-02-26,5,3.12
2020-03-02,2020-03-06,5,3.38
2020-03-08,2020-03-20,13,4.323076923076924
2020-03-23,2020-11-16,239,15.685564853556485
2020-11-19,2020-11-30,12,5.675
2020-12-09,2020-12-14,6,4.0
2020-12-19,2020-12-24,6,3.0833333333333335
2020-12-30,2021-01-06,8,0.9625
2021-01-13,2021-01-17,5,2.7399999999999998
2021-03-08,2021-03-13,6,5.683333333333334
2021-03-20,2021-11-26,252,15.931944444444444
2021-11-30,2021-12-06,7,3.2714285714285714
2021-12-10,2021-12-17,8,6.2875
2021-12-28,2022-01-01,5,2.5
2022-03-05,2022-03-10,6,2.9
2022-03-14,2022-03-26,13,5.4692307692307685
2022-03-30,2022-11-18,234,16.108974358974358
2022-11-21,2022-11-30,10,4.0600000000000005
2022-12-02,2022-12-08,7,4.3
2022-12-28,2023-01-06,10,5.0600000000000005
2023-01-17,2023-01-25,9,1.6888888888888889
2023-02-05,2023-02-10,6,3.15
2023-02-12,2023-02-16,5,5.22
2023-03-20,2023-03-29,10,4.71
2023-04-03,2023-11-19,231,16.271861471861474
2023-11-30,2023-12-05,6,3.483333333333333
2023-12-07,2023-12-18,12,4.808333333333334
2023-12-23,2023-12-31,9,4.5
2024-01-08,2024-01-13,6,2.533333333333333
2024-01-23,2024-02-12,21,3.019047619047619
2024-03-01,2024-03-19,19,6.084210526315789
2024-03-25,2024-11-24,245,16.370408163265306
